"FoodCode","Food_Description"
75211030,"Cabbage_green_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75211030,"Cabbage_green_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75211030,"Cabbage_green_cooked_fat_added_in_cooking"
75214021,"Cauliflower_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75214021,"Cauliflower_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75214021,"Cauliflower_cooked_from_fresh_fat_added_in_cooking"
75216121,"Corn_yellow_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS"
75216121,"Corn_yellow_cooked_from_fresh_fat_added_in_cooking"
75216121,"Corn_yellow_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75216122,"Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS"
75216122,"Corn_yellow_cooked_from_frozen_fat_added_in_cooking"
75216122,"Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75216221,"Corn_white_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75216221,"Corn_white_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS"
75217020,"Eggplant_cooked_fat_added_in_cooking"
75217020,"Eggplant_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75219020,"Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75219020,"Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking"
75219021,"Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75219021,"Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75219021,"Mushrooms_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS"
75219021,"Mushrooms_cooked_from_fresh_fat_added_in_cooking"
75221021,"Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75221021,"Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75221021,"Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_BUTTER_NFS"
75221021,"Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking"
75222020,"Parsnips_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75222020,"Parsnips_cooked_fat_added_in_cooking"
75224032,"Peas_green_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS"
75224032,"Peas_green_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75226020,"Peppers_green_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75226020,"Peppers_green_cooked_fat_added_in_cooking"
75226060,"Peppers_red_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75226060,"Peppers_red_cooked_fat_added_in_cooking"
75226060,"Peppers_red_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75231021,"Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking"
75231021,"Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75233020,"Squash_summer_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75233020,"Squash_summer_cooked_NS_as_to_form_fat_added_in_cooking"
75233021,"Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75233021,"Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS"
75233021,"Squash_summer_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS"
75233021,"Squash_summer_cooked_from_fresh_fat_added_in_cooking"
75307000,"Green_peppers_and_onions_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75307000,"Green_peppers_and_onions_cooked_fat_added_in_cooking"
75307000,"Green_peppers_and_onions_cooked_fat_added_in_cooking_WO_FAT"
75330120,"Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
75330120,"Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking"
82104000,"Olive_oil"
82104000,""
92101900,"Coffee_latte_W_WHOLE_MILK"
92101900,"Coffee_latte_W_2_MILK"
92101900,"Coffee_latte"
92101900,"Coffee_Latte"
92101900,"Coffee_latte_W_SKIM_MILK"
92101900,"Coffee_latte_W_SOY_MILK"
92101900,"Coffee_latte_W_1_MILK"
92101920,"Coffee_beverage_Frappuccino_regular"
92101920,"Frappuccino_regular_W_2_MILK"
92101920,"Coffee_beverage_Frappuccino_regular_W_SKIM_MILK"
92101920,"Blended_coffee_beverage_made_with_regular_coffee_milk_and_ice_sweetened"
92101950,"Coffee_mocha_W_2_MILK"
92101950,"Coffee_mocha"
92101950,"Coffee_mocha_W_WHOLE_MILK"
92101950,"Coffee_mocha_W_1_MILK"
92101950,"Coffee_mocha_W_SKIM_MILK"
92161000,"Cappuccino_W_2_MILK"
92161000,"Cappuccino"
