FoodID	taxonomy	Main.food.description
11511200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_chocolate_reduced_fat_milkbased_2_formerly_lowfat_	Milk chocolate reduced fat milkbased 2 formerly lowfat 
11511300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_chocolate_skim_milkbased	Milk chocolate skim milkbased
11511400	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_chocolate_lowfat_milkbased	Milk chocolate lowfat milkbased
11513000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk	Cocoa and sugar mixture milk added NS as to type of milk
11513100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_and_sugar_mixture_whole_milk_added	Cocoa and sugar mixture whole milk added
11513150	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_and_sugar_mixture_reduced_fat_milk_added	Cocoa and sugar mixture reduced fat milk added
11513200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_and_sugar_mixture_lowfat_milk_added	Cocoa and sugar mixture lowfat milk added
11513300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_and_sugar_mixture_skim_milk_added	Cocoa and sugar mixture skim milk added
11513700	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Chocolate_syrup_skim_milk_added	Chocolate syrup skim milk added
11514100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_sugar_and_dry_milk_mixture_water_added	Cocoa sugar and dry milk mixture water added
11514300	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added	Cocoa with nonfat dry milk and low calorie sweetener mixture water added
11516000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Cocoa_whey_and_low_calorie_sweetener_mixture_lowfat_milk_added	Cocoa whey and low calorie sweetener mixture lowfat milk added
11519105	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Chololate_or_other_flavored;L5_;Milk_flavors_other_than_chocolate_reduced_fat_milkbased	Milk flavors other than chocolate reduced fat milkbased
11531000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Eggnog;L5_;Eggnog_made_with_whole_milk	Eggnog made with whole milk
11542100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Milkshake;L5_;Carryout_milk_shake_chocolate	Carryout milk shake chocolate
11542200	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Milkshake;L5_;Carry_out_milk_shake_flavors_other_than_chocolate	Carry out milk shake flavors other than chocolate
11553000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Milk_fruit_smoothie;L5_;Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products	Fruit smoothie drink made with fruit or fruit juice and dairy products
